Page ID,Page name,Disclaimer,Amount spent (USD)
564623100070647,Health BD,Health BD,422
585648144624512,ইকো ফুড'স,ইকো ফুডস,320
259249367262457,Anamon Premium - যৌবন শতদল,Anamon Premium - যৌবন শতদল,228
353130515348425,Bangladesh Nationalist Party-BNP,Bangladesh Nationalist Party-BNP,166
48637583555,Tarique Rahman,Bangladesh Nationalist Party-BNP,126
441747252353258,Abdus Salam Tuhin,Abdus Salam Tuhin,≤100
1104792029697902,Feelucky,Feelucky,≤100
266326536843123,BNP Media Cell,BNP Media Cell,≤100
105568349155111,Saqeeb Anwar - সাকিব আনোয়ার,Saqeeb Anwar - সাকিব আনোয়ার,≤100
103072639385235,Kazi Rafiqul Islam,Kazi Rafiqul Islam,≤100
106277239037274,Golam Kibria Sawun,Golam Kibria Sawun,≤100
132484876617659,Sailboat BD,Sailboat BD,≤100
146660105207761,NouMuslim Muhammad Raj,NouMuslim Muhammad Raj,≤100
507618649107905,Salahuddin Ahmed Raihan,Salahuddin Ahmed Raihan,≤100
2147496625474821,MartSector,MartSector,≤100
393122680549970,রাজা সমর্থকগোষ্ঠী,রাজা সমর্থকগোষ্ঠী,≤100
109023742597444,OBHIZATRIK Foundation,OBHIZATRIK Foundation,≤100
103134196030535,Lead News,Lead News,≤100
111612467833365,Elias Pinaki supporter,Elias Pinaki supporter,≤100
382415708295829,Geo News Bangla,Geo News Bangla,≤100
459857567208135,JK Lifestyle,JK Lifestyle,≤100
2190868284294442,The Business Standard,The Business Standard,≤100
101162946164012,Amader Shomoy,Amader Shomoy,≤100
151002721721993,Tanveer Ahmed - তানভীর আহমেদ,SOFTGHOR LIMITED,≤100
441089449087349,নতুন দিগন্ত,নতুন দিগন্ত,≤100
543248588880147,মাসুদুল হক মাসুদ,The Bangladesh Story,≤100
111403696875370,Hafezzi Charitable Society Of Bangladesh,Hafezzi Charitable Society Of Bangladesh,≤100
150379674819529,Mail Dhaka 24.com,Mail Dhaka 24.com,≤100
100318188556477,Event Shop BD,Event Shop BD,≤100
820482054713791,Health & solution,Health & solution,≤100
112408011480547,তথ্য সাময়িকী,তথ্য সাময়িকী,≤100
405356416004252,কিশোরকণ্ঠ ২.০,কিশোরকণ্ঠ ২.০,≤100
441219605745791,প্রথম বাংলাদেশ,প্রথম বাংলাদেশ,≤100
380269991847332,ছায়া প্রচার,ছায়া প্রচার,≤100
620014037859838,Zulfar Nayeem Mostafa - জুলফার নাঈম মোস্তফা বিষ্ময়,Zulfar Nayeem Mostafa - জুলফার নাঈম মোস্তফা বিষ্ময়,≤100
203575499506529,জাগরণের ২৪,জাগরণের ২৪,≤100
1032887696808214,Kathaprokash,kathaprokash,≤100
100102252426414,15 minutes By Elias Hossain,15 minutes By Elias Hossain,≤100
195923920277092,Akm Shamsul Islam,Akm Shamsul Islam,≤100
609083255616705,জাতীয়তাবাদী আমরা,জাতীয়তাবাদী আমরা,≤100
512207958638234,S A Siddique Shaju,S A Siddique Shaju,≤100
620279924498304,BNP 24/7,BNP 24/7,≤100
110026753763971,VOD Bangla,VOD BANGLA MEDIA,≤100
565225540184937,CGTN,These ads ran without a disclaimer,≤100
113225231712274,Principal Iqbal Hossain,Principal Iqbal Hossain,≤100
