Page ID,Page name,Disclaimer,Amount spent (USD)
353130515348425,Bangladesh Nationalist Party-BNP,Bangladesh Nationalist Party-BNP,≤100
564623100070647,Health BD,Health BD,≤100
266326536843123,BNP Media Cell,BNP Media Cell,≤100
259249367262457,Anamon Premium - যৌবন শতদল,Anamon Premium - যৌবন শতদল,≤100
2147496625474821,MartSector,MartSector,≤100
585648144624512,ইকো ফুড'স,ইকো ফুডস,≤100
48637583555,Tarique Rahman,Bangladesh Nationalist Party-BNP,≤100
1104792029697902,Feelucky,Feelucky,≤100
109023742597444,OBHIZATRIK Foundation,OBHIZATRIK Foundation,≤100
132484876617659,Sailboat BD,Sailboat BD,≤100
507618649107905,Salahuddin Ahmed Raihan,Salahuddin Ahmed Raihan,≤100
565225540184937,CGTN,These ads ran without a disclaimer,≤100
620279924498304,BNP 24/7,BNP 24/7,≤100
151002721721993,Tanveer Ahmed - তানভীর আহমেদ,SOFTGHOR LIMITED,≤100
146660105207761,NouMuslim Muhammad Raj,NouMuslim Muhammad Raj,≤100
609083255616705,জাতীয়তাবাদী আমরা,জাতীয়তাবাদী আমরা,≤100
110026753763971,VOD Bangla,VOD Bangla,≤100
510057042186975,চেতনায় শহীদ জিয়া,চেতনায় শহীদ জিয়া,≤100
103072639385235,Kazi Rafiqul Islam,Kazi Rafiqul Islam,≤100
820482054713791,Health & solution,Health & solution,≤100
459857567208135,JK Lifestyle,JK Lifestyle,≤100
150379674819529,Mail Dhaka 24.com,Mail Dhaka 24.com,≤100
441089449087349,নতুন দিগন্ত,নতুন দিগন্ত,≤100
100318188556477,Event Shop BD,Event Shop BD,≤100
102560051924559,InfoMigrants - বাংলা,These ads ran without a disclaimer,≤100
111612467833365,Elias Pinaki supporter,Elias Pinaki supporter,≤100
110461375258186,Jana News 24,Jana News 24,≤100
100102252426414,15 minutes By Elias Hossain,15 minutes By Elias Hossain,≤100
441219605745791,প্রথম বাংলাদেশ,প্রথম বাংলাদেশ,≤100
2190868284294442,The Business Standard,The Business Standard,≤100
104607142600846,Bay of Bengal Post,Bay of Bengal Post,≤100
111403696875370,Hafezzi Charitable Society Of Bangladesh,Hafezzi Charitable Society Of Bangladesh,≤100
111562418393065,দৈনিক আমার বাংলাদেশ,দৈনিক আমার বাংলাদেশ,≤100
405356416004252,কিশোরকণ্ঠ ২.০,কিশোরকণ্ঠ ২.০,≤100
382415708295829,Geo News Bangla,Geo News Bangla,≤100
330770636783848,জাতীয় কন্ঠ,জাতীয় কন্ঠ,≤100
110026753763971,VOD Bangla,VOD BANGLA MEDIA,≤100
438594779579736,Col Md Abdul Baten,Col Md Abdul Baten,≤100
105783925087401,ব্রিগে. জেনারেল অব: ড. শামস,ব্রিগে. জেনারেল অব: ড. শামস,≤100
101162946164012,Amader Shomoy,Amader Shomoy,≤100
585216534680415,Nationalist Activism,Nationalist Activism,≤100
112433045132243,হাসান মাহমুদ সুমন,হাসান মাহমুদ সুমন,≤100
504472422746507,Timeline Bangladesh,Timeline Bangladesh,≤100
657764887411445,Save Chittagong Port - Bangladesh’s Lifeline,Save Chittagong Port - Bangladesh’s Lifeline,≤100
146577158802100,United Nations Development Programme in Bangladesh,United Nations Development Programme in Bangladesh,≤100
195923920277092,Akm Shamsul Islam,Akm Shamsul Islam,≤100
167933953408956,Senora,These ads ran without a disclaimer,≤100
162435200290736,জাতীয় পার্টির বাংলাদেশ,জাতীয় পার্টির বাংলাদেশ,≤100
438129559392597,Power of People,Power of People,≤100
451490881377765,Fact Review,Fact Review,≤100
147984862022776,ব্যারিস্টার রিয়াসাদ আজিম হক আদনান,ব্যারিস্টার রিয়াসাদ আজিম হক আদনান,≤100
100428276380361,Parbatta Shomoy - পার্বত্য সময়,Parbatta shomoy - পার্বত্য সময়,≤100
593546547184589,Bangladesh Republic Party - BRP,Bangladesh Republic Party - BRP,≤100
420315827822451,Niaz Morshed,Codebound,≤100
533562326517716,নতুন বাংলাদেশ,নতুন বাংলাদেশ,≤100
112408011480547,তথ্য সাময়িকী,তথ্য সাময়িকী,≤100
432412819945637,Dr. Khaliduzzaman SM,Dr. Khaliduzzaman SM,≤100
1625602657698736,আতাউর রহমান খান ওয়েলফেয়ার ফাউন্ডেশন,These ads ran without a disclaimer,≤100
488706857665910,Voice of Rights,Voice of Rights,≤100
512207958638234,S A Siddique Shaju,S A Siddique Shaju,≤100
308574542601202,আলমগীর হোসেন,আলমগীর হোসেন,≤100
112696111422353,শাহ্ রিয়াজুল হান্নান রিয়াজ,শাহ্ রিয়াজুল হান্নান রিয়াজ,≤100
137672230246755,বাংলাদেশে আইনের শাসন,বাংলাদেশে আইনের শাসন,≤100
538061789398995,বিএনপি পরিবার থেকে,বিএনপি পরিবার থেকে,≤100
108644652191184,Salman Omar Rubel,Salman Omar Rubel,≤100
103134196030535,Lead News,Lead News,≤100
465649469965421,Health Heroes\n\n,Health Heroes\n\n,≤100
285253361332707,Organic Secret Solution,Organic Secret Solution,≤100
538187892703967,Aminul Kabir Shumon,Aminul Kabir Shumon,≤100
380269991847332,ছায়া প্রচার,ছায়া প্রচার,≤100
146660105207761,NouMuslim Muhammad Raj,These ads ran without a disclaimer,≤100
424342317435045,Health & Beauty,Health & Beauty,≤100
1032887696808214,Kathaprokash,kathaprokash,≤100
660903863767761,Muhammad Abdul Mannan,Jamaat Dhaka City South,≤100
660927727101022,Shaikh Mehra Foundation,These ads ran without a disclaimer,≤100
731350736881381,মো: মতিউর রহমান,মো: মতিউর রহমান,≤100
714126068443704,Engr. Mustafa-E-Zaman Salim,Engr. Mustafa-E-Zaman Salim,≤100
497513330104071,BanglaZ,BanglaZ,≤100
714913981899462,Nationalist Cyber Party-NCP,Nationalist Cyber Party - NCP,≤100
2337888866275168,Quan Yin Meditation AU,These ads ran without a disclaimer,≤100
362723633580644,Primeking.com,These ads ran without a disclaimer,≤100
100789182047278,এক বঙ্গ বহু রঙ্গ,Cemcoa Limited,≤100
103143541219353,Parami University,These ads ran without a disclaimer,≤100
524107414115753,Coxsbazar Bulletin - কক্সবাজার বুলেটিন,CoxsBazar Bulletin - কক্সবাজার বুলেটিন,≤100
116703291327531,Ishrak Ahmed Siddiky,Ishrak Ahmed Siddiky,≤100
111612467833365,Elias Pinaki supporter,These ads ran without a disclaimer,≤100
137037206152797,Nazat Abdus sattar,Nazat Abdus sattar,≤100
105665288595860,Zakir Khan,Zakir Khan,≤100
379769521890614,নতুন বাংলা,নতুন বাংলা,≤100
479494055244277,আওয়াজ উঠাও বাংলাদেশ,আওয়াজ উঠাও বাংলাদেশ,≤100
582474331622546,Ashraf Hossain Bhuiyan,Ashraf Hossain Bhuiyan,≤100
180508878470735,Notun Bangla,These ads ran without a disclaimer,≤100
116957611505557,BNP Awareness Forum,BNP Awareness Forum,≤100
112723761662085,Md Najmul Islam Jiku,MD Najmul Islam,≤100
264554296742592,Newz.Com,Newz.Com,≤100
107032458859442,Masood Sayedee,These ads ran without a disclaimer,≤100
203575499506529,জাগরণের ২৪,জাগরণের ২৪,≤100
151954201336153,Secret Solution,Secret Solution,≤100
106877918030139,Elias Hossain Supporter,Elias Hossain Supporter,≤100
606156665923370,Beyond The Delta,Beyond The Delta,≤100
101646796015361,Global Media,Global Media,≤100
