Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
585648144624512,ইকো ফুড'স,ইকো ফুডস,7927,43
564623100070647,Health BD,Health BD,5484,48
259249367262457,Anamon Premium - যৌবন শতদল,Anamon Premium - যৌবন শতদল,3911,159
353130515348425,Bangladesh Nationalist Party-BNP,Bangladesh Nationalist Party-BNP,1856,20
432412819945637,Dr. Khaliduzzaman SM,Dr. Khaliduzzaman SM,1438,67
1104792029697902,Feelucky,Feelucky,1436,161
48637583555,Tarique Rahman,Bangladesh Nationalist Party-BNP,1432,5
266326536843123,BNP Media Cell,BNP Media Cell,704,3
132484876617659,Sailboat BD,Sailboat BD,509,6
146660105207761,NouMuslim Muhammad Raj,NouMuslim Muhammad Raj,479,10
507618649107905,Salahuddin Ahmed Raihan,Salahuddin Ahmed Raihan,423,15
1040548485989576,Biyerkhoj Marriage Media,Biyerkhoj Marriage Media,385,6
2147496625474821,MartSector,MartSector,354,10
109023742597444,OBHIZATRIK Foundation,OBHIZATRIK Foundation,323,8
103072639385235,Kazi Rafiqul Islam,Kazi Rafiqul Islam,305,53
103134196030535,Lead News,Lead News,278,27
111612467833365,Elias Pinaki supporter,Elias Pinaki supporter,277,19
151002721721993,Tanveer Ahmed - তানভীর আহমেদ,SOFTGHOR LIMITED,258,10
101162946164012,Amader Shomoy,Amader Shomoy,250,269
2190868284294442,The Business Standard,The Business Standard,241,43
382415708295829,Geo News Bangla,Geo News Bangla,224,15
459857567208135,JK Lifestyle,JK Lifestyle,223,17
441089449087349,নতুন দিগন্ত,নতুন দিগন্ত,203,187
820482054713791,Health & solution,Health & solution,202,3
100318188556477,Event Shop BD,Event Shop BD,196,13
1032887696808214,Kathaprokash,kathaprokash,187,8
441219605745791,প্রথম বাংলাদেশ,প্রথম বাংলাদেশ,187,156
203575499506529,জাগরণের ২৪,জাগরণের ২৪,180,156
111403696875370,Hafezzi Charitable Society Of Bangladesh,Hafezzi Charitable Society Of Bangladesh,180,4
380269991847332,ছায়া প্রচার,ছায়া প্রচার,175,171
150379674819529,Mail Dhaka 24.com,Mail Dhaka 24.com,172,19
702061236324128,Md Manirul Islam Liton,SoftX IT Ltd.,164,6
405356416004252,কিশোরকণ্ঠ ২.০,কিশোরকণ্ঠ ২.০,151,128
107372491717684,Khondaker Nasir Uddin,Khondaker Nasir Uddin,145,10
609083255616705,জাতীয়তাবাদী আমরা,জাতীয়তাবাদী আমরা,139,17
620279924498304,BNP 24/7,BNP 24/7,130,1
512207958638234,S A Siddique Shaju,S A Siddique Shaju,123,26
536890432830310,Israfil Khosru ইসরাফিল খসরু,Israfil Khosru ইসরাফিল খসরু,123,1
100102252426414,15 minutes By Elias Hossain,15 minutes By Elias Hossain,122,4
112408011480547,তথ্য সাময়িকী,তথ্য সাময়িকী,122,23
195923920277092,Akm Shamsul Islam,Akm Shamsul Islam,121,27
565225540184937,CGTN,These ads ran without a disclaimer,119,1
110026753763971,VOD Bangla,VOD BANGLA MEDIA,118,32
111562418393065,দৈনিক আমার বাংলাদেশ,দৈনিক আমার বাংলাদেশ,111,26
465649469965421,Health Heroes\n\n,Health Heroes\n\n,107,1
110026753763971,VOD Bangla,VOD Bangla,102,1
100428276380361,Parbatta Shomoy - পার্বত্য সময়,Parbatta shomoy - পার্বত্য সময়,101,103
593546547184589,Bangladesh Republic Party - BRP,Bangladesh Republic Party - BRP,101,9
441747252353258,Abdus Salam Tuhin,Abdus Salam Tuhin,≤100,17
104607142600846,Bay of Bengal Post,Bay of Bengal Post,≤100,82
438594779579736,Col Md Abdul Baten,Col Md Abdul Baten,≤100,17
362723633580644,Primeking.com,These ads ran without a disclaimer,≤100,3
667365486464220,Bongo Sing,These ads ran without a disclaimer,≤100,5
110996938508416,Jamaat Rangpur City,Jamaat Rangpur City,≤100,9
451490881377765,Fact Review,Fact Review,≤100,67
510057042186975,চেতনায় শহীদ জিয়া,চেতনায় শহীদ জিয়া,≤100,6
285253361332707,Organic Secret Solution,Organic Secret Solution,≤100,3
162435200290736,জাতীয় পার্টির বাংলাদেশ,জাতীয় পার্টির বাংলাদেশ,≤100,3
565111883343199,মেহেদী হাসান মিঠু,মেহেদী হাসান মিঠু,≤100,2
151954201336153,Secret Solution,Secret Solution,≤100,1
714126068443704,Engr. Mustafa-E-Zaman Salim,Engr. Mustafa-E-Zaman Salim,≤100,3
105783925087401,ব্রিগে. জেনারেল অব: ড. শামস,ব্রিগে. জেনারেল অব: ড. শামস,≤100,17
654745201059541,Bangladesh Social Democratic Party - BSDP,Bangladesh Social Democratic Party - BSDP,≤100,4
